batch	shots	toffoli	clifford	classical_failures	phase_failure_shots	ancilla_failure_shots	any_failure_shots	phase_garbage_batches	ancilla_garbage_batches	inputs_end_offset
7	64	60983741	711167689	0	0	0	0	0	0	36143
3	64	60980564	711140903	0	0	0	0	0	0	72136
5	64	60971601	711068824	0	0	0	0	0	0	108109
2	64	60969839	711057110	0	0	0	0	0	0	144070
6	64	60980518	711145014	0	0	0	0	0	0	180075
1	64	60967835	711044585	0	0	0	0	0	0	216011
4	64	60987565	711203572	0	0	0	0	0	0	252000
0	64	60975295	711092929	0	0	0	0	0	0	287914
15	64	60985979	711192970	0	0	0	0	0	0	323984
11	64	60974100	711086950	0	0	0	0	0	0	360015
13	64	60974093	711093847	0	0	0	0	0	0	396067
10	64	60963747	710997555	0	0	0	0	0	0	432115
14	64	60974488	711095977	0	0	0	0	0	0	468160
9	64	60966623	711025220	1	0	0	1	0	0	504135
12	64	60967293	711026368	0	0	0	0	0	0	540179
8	64	60973945	711082309	0	0	0	0	0	0	576169
23	64	60972286	711078279	0	0	0	0	0	0	612282
19	64	60961937	710989506	0	0	0	0	0	0	648383
21	64	60964986	711016034	0	0	0	0	0	0	684502
18	64	60981800	711152429	0	0	0	0	0	0	720616
22	64	60972431	711073841	0	0	0	0	0	0	756725
17	64	60977553	711118836	0	0	0	0	0	0	792820
20	64	60969427	711042374	0	0	0	0	0	0	828923
16	64	60985577	711183642	0	0	0	0	0	0	865039
31	64	60968510	711046863	0	0	0	0	0	0	901171
27	64	60970035	711056891	0	0	0	0	0	0	937282
29	64	60979389	711137508	0	0	0	0	0	0	973390
30	64	60972016	711071439	0	0	0	0	0	0	1009503
26	64	60965249	711021861	0	0	0	0	0	0	1045618
25	64	60972841	711081283	0	0	0	0	0	0	1081729
28	64	60980029	711141619	0	0	0	0	0	0	1117841
24	64	60977446	711118322	0	0	0	0	0	0	1153946
39	64	60970243	711057645	0	0	0	0	0	0	1190041
35	64	60961327	710982439	0	0	0	0	0	0	1226164
37	64	60980856	711149752	0	0	0	0	0	0	1262291
38	64	60980225	711144772	0	0	0	0	0	0	1298400
34	64	60973051	711086990	0	0	0	0	0	0	1334509
33	64	60962492	710987821	0	0	0	0	0	0	1370634
36	64	60969356	711051160	0	0	0	0	0	0	1406738
32	64	60972689	711077915	0	0	0	0	0	0	1442841
47	64	60983532	711167536	0	0	0	0	0	0	1478950
43	64	60963718	710996016	0	0	0	0	0	0	1515062
42	64	60973462	711084865	0	0	0	0	0	0	1551173
46	64	60989730	711214779	0	0	0	0	0	0	1587278
45	64	60976057	711110950	0	0	0	0	0	0	1623398
41	64	60975669	711099671	0	0	0	0	0	0	1659502
44	64	60971355	711068616	0	0	0	0	0	0	1695603
40	64	60971915	711064810	0	0	0	0	0	0	1731717
55	64	60964915	711011863	0	0	0	0	0	0	1767818
50	64	60983903	711165176	0	0	0	0	0	0	1803932
51	64	60966464	711027444	0	0	0	0	0	0	1840049
54	64	60974712	711096432	0	0	0	0	0	0	1876166
53	64	60981035	711152894	0	0	0	0	0	0	1912268
49	64	60991608	711239259	0	0	0	0	0	0	1948387
52	64	60986949	711200887	0	0	0	0	0	0	1984507
48	64	60964340	711012042	0	0	0	0	0	0	2020619
63	64	60970406	711053934	0	0	0	0	0	0	2056738
58	64	60977458	711119156	0	0	0	0	0	0	2092846
59	64	60970145	711064783	0	0	0	0	0	0	2128972
62	64	60968471	711040246	0	0	0	0	0	0	2165077
61	64	60964679	711010221	0	0	0	0	0	0	2201201
57	64	60967629	711030431	0	0	0	0	0	0	2237298
60	64	60978953	711138064	0	0	0	0	0	0	2273395
56	64	60986413	711190657	0	0	0	0	0	0	2309531
71	64	60970871	711070208	0	0	0	0	0	0	2345653
70	64	60973653	711085962	0	0	0	0	0	0	2381760
66	64	60976011	711105204	0	0	0	0	0	0	2417878
67	64	60964086	711004355	0	0	0	0	0	0	2454004
65	64	60981305	711153182	0	0	0	0	0	0	2490103
68	64	60976053	711110975	0	0	0	0	0	0	2526222
79	64	60972475	711077721	0	0	0	0	0	0	2562313
64	64	60978536	711120414	0	0	0	0	0	0	2598426
69	64	60978679	711129935	0	0	0	0	0	0	2634547
78	64	60979997	711140551	0	0	0	0	0	0	2670670
74	64	60971453	711060512	1	1	0	1	1	0	2706779
75	64	60976232	711104389	0	0	0	0	0	0	2742887
76	64	60991463	711238442	0	0	0	0	0	0	2778991
87	64	60971986	711074379	0	0	0	0	0	0	2815105
73	64	60971035	711063613	0	0	0	0	0	0	2851228
77	64	60970909	711066261	0	0	0	0	0	0	2887334
72	64	60984592	711171897	0	0	0	0	0	0	2923438
86	64	60974131	711078490	0	0	0	0	0	0	2959545
82	64	60972008	711072828	0	0	0	0	0	0	2995655
83	64	60965289	711017902	0	0	0	0	0	0	3031764
95	64	60966851	711029975	0	0	0	0	0	0	3067857
84	64	60966049	711023842	0	0	0	0	0	0	3103973
81	64	60978481	711128906	0	0	0	0	0	0	3140093
85	64	60968506	711048332	0	0	0	0	0	0	3176206
80	64	60979465	711134366	0	0	0	0	0	0	3212327
94	64	60975893	711104680	0	0	0	0	0	0	3248443
91	64	60967464	711033215	0	0	0	0	0	0	3284542
90	64	60978262	711125805	0	0	0	0	0	0	3320636
92	64	60976021	711108966	0	0	0	0	0	0	3356748
103	64	60982199	711156150	0	0	0	0	0	0	3392924
89	64	60980026	711137924	0	0	0	0	0	0	3429036
93	64	60973424	711091657	0	0	0	0	0	0	3465158
88	64	60985511	711183331	0	0	0	0	0	0	3501247
102	64	60979338	711142551	0	0	0	0	0	0	3537416
99	64	60974237	711089262	0	0	0	0	0	0	3573520
98	64	60962657	710989425	0	0	0	0	0	0	3609648
100	64	60972026	711067036	0	0	0	0	0	0	3645811
111	64	60974038	711087977	0	0	0	0	0	0	3681987
101	64	60976808	711108522	0	0	0	0	0	0	3718169
96	64	60970436	711054799	0	0	0	0	0	0	3754287
97	64	60981885	711150000	0	0	0	0	0	0	3790385
110	64	60964152	711004545	0	0	0	0	0	0	3826568
106	64	60972224	711081373	0	1	0	1	1	0	3862752
107	64	60961470	710987707	0	0	0	0	0	0	3898921
108	64	60966047	711027024	0	0	0	0	0	0	3935083
119	64	60968950	711043800	0	0	0	0	0	0	3971256
109	64	60975144	711098399	0	0	0	0	0	0	4007440
105	64	60970681	711060114	0	0	0	0	0	0	4043625
